"Unit type ","Unit ","Floor ","Street number ","Street alpha ","Street name ","Street type ","Street direction ","Suburb ","Town/City ","Unit type 2","Unit 2","Floor 2","Street number 2","Street alpha 2","Street name 2","Street type 2","Street direction 2","Suburb 2","Town/City 2","Unit type 3","Unit 3","Floor 3","Street number 3","Street alpha 3","Street name 3","Street type 3","Street direction 3","Suburb 3","Town/City 3","Unit type 4","Unit 4","Floor 4","Street number 4","Street alpha 4","Street name 4","Street type 4","Street direction 4","Suburb 4","Town/City 4","Unit type 5","Unit 5","Floor 5","Street number 5","Street alpha 5","Street name 5","Street type 5","Street direction 5","Suburb 5","Town/City 5","Unit type 6","Unit 6","Floor 6","Street number 6","Street alpha 6","Street name 6","Street type 6","Street direction 6","Suburb 6","Town/City 6","Unit type 7","Unit 7","Floor 7","Street number 7","Street alpha 7","Street name 7","Street type 7","Street direction 7","Suburb 7","Town/City 7","Unit type 8","Unit 8","Floor 8","Street number 8","Street alpha 8","Street name 8","Street type 8","Street direction 8","Suburb 8","Town/City 8","Unit type 9","Unit 9","Floor 9","Street number 9","Street alpha 9","Street name 9","Street type 9","Street direction 9","Suburb 9","Town/City 9","Common name 1","Common name 2","Common name 3","Common name 4","Common name 5","Common name 6","Common name 7","Common name 8","Common name 9","Common name 10","Notice type","Date of issue","Earthquake rating","Seismic work deadline","Priority building","Notice issued by","Heritage status","Area of seismic risk"
"","","","107","","Ngaumutawa","Road","","","Masterton","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Yard Factory","","","","","","","","","","EPB notice","21/10/2020","0% to less than 20%","01/12/2039","No","Masterton District Council","","High"
"","","","15","","Hope","Street","","","Masterton","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Simonsen & Yardley","","","","","","","","","","EPB notice","12/10/2022","0% to less than 20%","12/10/2041","No","Masterton District Council","","High"
"","","","219","","High","Street","","Solway","Masterton","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Ordish & Stevens","","","","","","","","","","EPB notice","13/10/2023","0% to less than 20%","13/10/2042","No","Masterton District Council","","High"
"","","","126","","Dixon","Street","","","Masterton","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Pet Shop","","","","","","","","","","EPB notice","21/10/2020","0% to less than 20%","01/12/2039","No","Masterton District Council","","High"
"","","","14","","Cole","Street","","","Masterton","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Masterton Miniature Rifle Club","","","","","","","","","","EPB notice","20/10/2020","0% to less than 20%","01/12/2039","No","Masterton District Council","","High"
"","","","4","","Chapel","Street","","","Masterton","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Heat Shop","","","","","","","","","","EPB notice","20/10/2020","0% to less than 20%","01/12/2039","No","Masterton District Council","","High"
"","","","42","","Bannister","Street","","","Masterton","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","The Boat Shed and Autos","","","","","","","","","","EPB notice","20/10/2020","0% to less than 20%","01/12/2039","No","Masterton District Council","","High"
"","","","80","","York","Street","","Solway","Masterton","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","A&P Showground Grandstand","","","","","","","","","","EPB notice","12/09/2023","Not determined","10/09/2042","No","Masterton District Council","Within historic area","High"
"","","","152","","Queen","Street","","","Masterton","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Shosha","","","","","","","","","","EPB notice","28/08/2018","Not determined","28/08/2037","No","Masterton District Council","","High"
"","","","216","","Queen","Street","","","Masterton","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Wairarapa Bakery & Annapurna","","","","","","","","","","EPB notice","27/08/2018","Not determined","27/08/2037","No","Masterton District Council","","High"
"APARTMENT","C","","2","","VICTORIA ","AVENUE","","","WHANGANUI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","16/06/2025","Not determined","16/06/2050","No","Whanganui District Council","","Medium"
"Apartment","B","","2","","Victoria","Avenue","","","Whanganui","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","16/06/2025","Not determined","16/06/2050","No","Whanganui District Council","","Medium"
"","","","2","","Victoria","Avenue","","","Whanganui","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","16/06/2025","Not determined","16/06/2050","No","Whanganui District Council","","Medium"
"","","","258","","Wakefield","Quay","","Stepneyville","Nelson","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Anchor Shipping and Foundry Building","","","","","","","","","","EPB notice","18/06/2025","20% to less than 34%","23/04/2031","Yes","Nelson City Council","Historic place category 2","Medium"
"","","","21","","Queen","Street","","","Masterton","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Festival Hire","","","","","","","","","","EPB notice","27/08/2018","Not determined","27/08/2037","No","Masterton District Council","","High"
"","","","19","","Queen","Street","","","Masterton","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Mahi Tahi Tatou Op Shop","","","","","","","","","","EPB notice","27/08/2018","Not determined","27/08/2037","No","Masterton District Council","","High"
"","","","260","","Queen","Street","","","Masterton","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Four Seasons Takeaway","","","","","","","","","","EPB notice","20/11/2024","Not determined","18/11/2043","No","Masterton District Council","","High"
"","","","246","","Queen","Street","","","Masterton","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Copper Kettle","","","","","","","","","","EPB notice","17/02/2023","Not determined","15/08/2034","Yes","Masterton District Council","","High"
"","","","105","","Queen","Street","","","Masterton","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Chans Restaurant, Mobile Repair and Nail Salon","","","","","","","","","","EPB notice","28/04/2022","Not determined","28/10/2033","Yes","Masterton District Council","","High"
"","1-5","","1","","Perry Street","","","","Masterton","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x5 tenancies","","","","","","","","","","EPB notice","06/12/2022","Not determined","30/06/2034","Yes","Masterton District Council","","High"
"","","","78","","Highgate","","","Belleknowes","Dunedin","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","29/04/2025","20% to less than 34%","29/04/2060","No","Dunedin City Council","","Low"
"","","","6","","Renall ","Street","","","Masterton","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Mobility Wairarapa (ex Sound & Vision)","","","","","","","","","","EPB notice","23/06/2023","0% to less than 20%","22/06/2042","No","Masterton District Council","","High"
"","","","162","","Queen","Street","","","Masterton","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Milady Building (Inc. ALL tenancies)","","","","","","","","","","EPB notice","07/09/2023","0% to less than 20%","05/03/2035","Yes","Masterton District Council","Scheduled by the TA","High"
"","","","85","","Queen","Street","","","Masterton","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MQ Hair & Poppys at Home","","","","","","","","","","EPB notice","12/09/2023","Not determined","11/03/2035","Yes","Masterton District Council","","High"
"","","","91","","Dixon","Street","","","Masterton","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Waggs - Gas Station Canopy ","","","","","","","","","","EPB notice","11/09/2023","Not determined","10/09/2042","No","Masterton District Council","","High"
"","","","5","","Church","Street","","","Masterton","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Radio House (Inc. ALL Tenancies)","","","","","","","","","","EPB notice","07/09/2023","Not determined","05/03/2035","Yes","Masterton District Council","","High"
"","","","8","","Queen","Street","","","Masterton","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x3 Tenancies (A1 Takeaway, Bodymind Pilates & Trust House)","","","","","","","","","","EPB notice","11/09/2023","Not determined","10/03/2035","Yes","Masterton District Council","","High"
"","","","6","","King","Street","","","Masterton","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Langlands Workshop Building","","","","","","","","","","EPB notice","23/06/2023","Not determined","22/06/2042","No","Masterton District Council","","High"
"","","","8","","Perry","Street","","","Masterton","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ex Logan Gold Walsh","","","","","","","","","","EPB notice","11/09/2023","Not determined","10/03/2035","Yes","Masterton District Council","","High"
"","","","2","","Bannister","Street","","","Masterton","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Tower Building","","","","","","","","","","EPB notice","23/06/2023","Not determined","20/12/2034","Yes","Masterton District Council","","High"
"","","","308","","Queen","Street","","","Masterton","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","The Sultan’s Boofiya Kitchen","","","","","","","","","","EPB notice","18/10/2023","Not determined","18/04/2035","Yes","Masterton District Council","","High"
"","","","256","","Queen","Street","","","Masterton","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Tonz Barber Shop & Golden Chips Takeaway","","","","","","","","","","EPB notice","23/06/2023","Not determined","20/12/2034","Yes","Masterton District Council","","High"
"","","","30","","Akura","Road","","","Masterton","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Taylormade Furniture ","","","","","","","","","","EPB notice","13/10/2023","Not determined","13/10/2042","No","Masterton District Council","","High"
"","","","138","","Lincoln","Road","","","Masterton","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Carters - Old Factory Building ","","","","","","","","","","EPB notice","13/10/2023","Not determined","13/10/2042","No","Masterton District Council","","High"
"","","","34","","Perry","Street","","","Masterton","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Northco Insurance Brokers","","","","","","","","","","EPB notice","11/09/2023","Not determined","10/09/2042","No","Masterton District Council","","High"
"","","","229","","Chapel ","Street","","","Masterton","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Mobil Kuripuni - Canopy","","","","","","","","","","EPB notice","07/09/2023","Not determined","06/09/2042","No","Masterton District Council","","High"
"","","","151","","Renall","Street","","","Masterton","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Tararua Builders - Brick Building ","","","","","","","","","","EPB notice","12/09/2023","Not determined","10/09/2042","No","Masterton District Council","","High"
"APARTMENT","Q","","2","","VICTORIA","AVENUE","","","WHANGANUI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","16/06/2025","Not determined","16/06/2050","No","Whanganui District Council","","Medium"
"APPARTMENT","P","","2","","VICTORIA","AVENUE","","","WHANGANUI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FOSTERS","","","","","","","","","","EPB notice","16/06/2025","Not determined","16/06/2050","No","Whanganui District Council","","Medium"
"APARTMENT","O","","2","","VICTORIA","AVENUE","","","WHANGANUI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FOSTERS","","","","","","","","","","EPB notice","16/06/2025","Not determined","16/06/2050","No","Whanganui District Council","","Medium"
"APARTMENT","N","","2","","VICTORIA","AVENUE","","","WHANGANUI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FOSTERS","","","","","","","","","","EPB notice","16/06/2025","Not determined","16/06/2050","No","Whanganui District Council","","Medium"
"APARTMENT","M","","2","","VICTORIA","AVENUE","","","WHANGANUI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FOSTERS","","","","","","","","","","EPB notice","16/06/2025","Not determined","16/06/2050","No","Whanganui District Council","","Medium"
"APARTMENT","L","","2","","VICTORIA","AVENUE","","","WHANGANUI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","fOSTERS","","","","","","","","","","EPB notice","16/06/2025","Not determined","16/06/2050","No","Whanganui District Council","","Medium"
"APARTMENT","K","","2","","VICTORIA","AVENUE","","","WHANGANUI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FOSTERS","","","","","","","","","","EPB notice","16/06/2025","Not determined","16/06/2050","No","Whanganui District Council","","Medium"
"APARTMENT","J","","2","","VICTORIA","AVENUE","","","WHANGANUI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FOSTERS","","","","","","","","","","EPB notice","16/06/2025","Not determined","16/06/2050","No","Whanganui District Council","","Medium"
"APARTMENT ","I","","2","","VICTORIA","AVENUE","","","WHANGANUI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FOSTERS","","","","","","","","","","EPB notice","16/06/2025","Not determined","16/06/2050","No","Whanganui District Council","","Medium"
"APARTMENT","H","","2","","VICTORIA","AVENUE","","","WHANGANUI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FOSTERS","","","","","","","","","","EPB notice","16/06/2025","Not determined","16/06/2050","No","Whanganui District Council","","Medium"
"APARTMENT","G","","2","","VICTORIA","AVENUE","","","WHANGANUI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FOSTERS","","","","","","","","","","EPB notice","16/06/2025","Not determined","16/06/2050","No","Whanganui District Council","","Medium"
"APARTMENT","F","","2","","VICTORIA","AVENUE","","","WHANGANUI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FOSTERS","","","","","","","","","","EPB notice","16/06/2025","Not determined","16/06/2050","No","Whanganui District Council","","Medium"
"APARTMENT ","E","","2","","VICTORIA","AVENUE","","","WHANGANUI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FOSTERS","","","","","","","","","","EPB notice","16/06/2025","Not determined","16/06/2050","No","Whanganui District Council","","Medium"
"","","","181","","Herbert","Street","","Gladstone","Invercargill","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","29/05/2025","Not determined","01/05/2049","No","Invercargill City Council","","Medium"
"","","","250","","McQuarrie","Street","","Kingswell","Invercargill","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","04/06/2025","Not determined","09/07/2050","No","Invercargill City Council","","Medium"
"","","","88","","Gore","Street","","","Bluff","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","26/03/2021","Not determined","26/09/2033","No","Invercargill City Council","","Medium"
"FLAT","3","","470","","Moray","Place","","Dunedin Central","Dunedin","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","11/10/2023","Not determined","23/09/2062","No","Dunedin City Council","Scheduled by the TA","Low"
"FLAT","2","","470","","Moray","Place","","Dunedin Central","Dunedin","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","11/10/2023","Not determined","23/09/2062","No","Dunedin City Council","Scheduled by the TA","Low"
"FLAT","1","","470","","Moray","Place","","Dunedin Central","Dunedin","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","11/10/2023","Not determined","23/09/2062","No","Dunedin City Council","Scheduled by the TA","Low"
"","","","17","","Vogel","Street","","Dunedin Central","Dunedin","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","16/10/2023","Not determined","15/09/2062","No","Dunedin City Council","Scheduled by the TA","Low"
"","","","18","","Princes","Street","","Dunedin Central","Dunedin","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","16/10/2023","Not determined","23/09/2062","No","Dunedin City Council","Scheduled by the TA","Low"
"","","","320","","Princes","Street","","Dunedin Central","Dunedin","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","16/10/2023","Not determined","23/09/2062","No","Dunedin City Council","Scheduled by the TA","Low"
"","","","2","","Birch","Street","","Dunedin Central","Dunedin","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","11/10/2023","Not determined","19/09/2062","No","Dunedin City Council","Within historic area","Low"
"","","","5","","North","Road","","North East Valley","Dunedin","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","11/10/2023","Not determined","15/09/2062","No","Dunedin City Council","","Low"
"","","","20","","Dowling","Street","","Dunedin Central","Dunedin","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","11/10/2023","Not determined","19/09/2062","No","Dunedin City Council","Scheduled by the TA","Low"
"","","","403","","Princes","Street","","Dunedin Central","Dunedin","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","06/10/2023","Not determined","23/09/2062","No","Dunedin City Council","Scheduled by the TA","Low"
"","","","310","","Princes","Street","","Dunedin Central","Dunedin","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","06/10/2023","Not determined","23/09/2062","No","Dunedin City Council","Historic place category 1","Low"
"","","","434","","George","Street","","North Dunedin","Dunedin","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","05/10/2023","Not determined","20/09/2062","No","Dunedin City Council","Scheduled by the TA","Low"
"","","","438","","George","Street","","North Dunedin","Dunedin","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","31/05/2023","Not determined","31/05/2062","No","Dunedin City Council","Scheduled by the TA","Low"
"","","","442","","George","Street","","North Dunedin","Dunedin","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","05/10/2023","Not determined","20/09/2062","No","Dunedin City Council","Scheduled by the TA","Low"
"","","","202","","George","Street","","Dunedin Central","Dunedin","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","05/10/2023","Not determined","19/09/2062","No","Dunedin City Council","Scheduled by the TA","Low"
"","","","474","","Princes","Street","","Dunedin Central","Dunedin","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","04/10/2023","Not determined","20/09/2062","No","Dunedin City Council","Scheduled by the TA","Low"
"","","","92","","Normanby","Road","","","Paeroa","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","17/06/2024","0% to less than 20%","17/12/2040","Yes","Hauraki District Council","","Medium"
"","","","89","","North","Road","","North East Valley","Dunedin","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","21/02/2025","Not determined","25/01/2060","No","Dunedin City Council","Historic place category 2","Low"
"","","","201","","North","Road","","North East Valley","Dunedin","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","29/04/2025","20% to less than 34%","29/04/2060","No","Dunedin City Council","","Low"
"","","","85","","Homebush","Road","","","Glentunnel","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Glentunnel School - Pool Changing Rooms","","","","","","","","","","EPB notice","05/05/2020","0% to less than 20%","05/05/2039","Yes","Selwyn District Council","","High"
"","","","170","","Creyke","Road","","","Darfield","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Darfield Shooting Centre","","","","","","","","","","EPB notice","06/03/2020","Not determined","06/03/2039","No","Selwyn District Council","","High"
"","","","154","","High","Street","","","Leeston","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","St Johns Catholic Church","","","","","","","","","","EPB notice","05/03/2020","Not determined","05/03/2039","No","Selwyn District Council","","High"
"","","","104","","High","Street","","","Southbridge","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Southbridge Grocer","","","","","","","","","","EPB notice","05/03/2020","Not determined","05/03/2039","Yes","Selwyn District Council","","High"
"","","","256","","Greendale","Road","","","Greendale","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Greendale Methodist Church","","","","","","","","","","EPB notice","05/03/2020","Not determined","05/03/2039","No","Selwyn District Council","","High"
"","","","43","","Duck Pond","Road","","","Motukarara","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Racecourse Stand","","","","","","","","","","EPB notice","25/02/2020","Not determined","25/02/2039","No","Selwyn District Council","","High"
"","","","20","","North","Terrace","","","Darfield","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","St . Johns Building","","","","","","","","","","EPB notice","25/02/2020","Not determined","25/02/2039","No","Selwyn District Council","","High"
